Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,XREF
1,"S2",CH-TRIG,TACTILE_SWITCH_SMD,PTS525SM10SMTR LFS,C&K; Components,DK,CKN9104CT-ND,SWITCH TACTILE SPST-NO 0.05A 12V,None,REF12
2,"D1, D2",FDLL914A,MELF-MLL34,FDLL914A,Fairchild Semiconductor,DK,FDLL914ACT-ND,DIODE SMALL SIG 100V 0.2A,LL34,REF4
1,"S3",OH-TRIG,TACTILE_SWITCH_SMD,PTS525SM10SMTR LFS,C&K; Components,DK,CKN9104CT-ND,SWITCH TACTILE SPST-NO 0.05A 12V,None,REF12
2,"IC1, IC3",TL072D,SO08,TL072SG-13,Diodes Incorporated,DK,TL072SG-13DICT-ND,IC OPAMP JFET 3MHZ,8SOP,REF5
5,"C10, C11, C12, C13, C18",0.1uF,0805,C0805C104K5RACTU,Kemet,DK,399-1170-1-ND,CAP CER 0.1UF 100NF 50V 10% X7R 0805,0805,REF10
1,"C17",0.47uF / 50v,PANASONIC_VS_B-2,EEE-1HAR47AR,Panasonic Electronic Components,DK,PCE4628CT-ND,CAP ALUM 0.47UF 50V 20%,PAN_VS_B,REF7
2,"C22, C23",1.8nF,0805,08055C182KAT2A,AVX Corporation,DK,478-1374-1-ND,CAP CER 1800PF 50V 10% X7R,0805,REF30
3,"R11, R21, R25",1M,0805,RMCF0805FT1M00,Stackpole Electronics Inc,DK,RMCF0805FT1M00CT-ND,RES 1M OHM 1/8W 1%,0805,REF37
1,"D1",1N4148,SOD-323F,1N4148WS,Fairchild Semiconductor,DK,1N4148WSFSCT-ND,DIODE SML SIG 75V 0.15A,SOD323F,REF2
2,"R20, R28",1k,0805,RMCF0805FT1K00,Stackpole Electronics Inc,DK,RMCF0805FT1K00CT-ND,RES 1K OHM 1/8W 1%,0805,REF40
1,"C19",1nF,0805,C0805C102K5RACTU,Kemet,DK,399-1147-1-ND,CAP CER 1000PF 50V 10% X7R,0805,REF27
1,"C14",1uF / 50v,PANASONIC_VS_B-2,EEE-1HA010SR,Panasonic Electronic Components,DK,PCE3912CT-ND,CAP ALUM 1.0UF 50V 20% SMD,PAN_VS_B,REF9
1,"R35",2.2M,0805,RC0805FR-072M2L,Yageo,DK,311-2.20MCRCT-ND,RES 2.2M OHM 1/8W 1%,0805,REF47
1,"R12",2.2k,0805,RMCF0805FT2K20,Stackpole Electronics Inc,DK,RMCF0805FT2K20CT-ND,RES 2.2K OHM 1/8W 1%,0805,REF52
1,"C20",2.7nF,0805,CC0805KRX7R9BB272,Yageo,DK,311-1130-1-ND,CAP CER 2700PF 50V 10% X7R,0805,REF28
